Rk,year,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32,2024-2025,Pauline Bremer,de GER,"FW,MF",Brighton,28,1996,6.4,1,12,2,16.7,1.87,0.31,0.08,0.5,15.9,0,0,0,1.1,1.1,0.09,'-0.1,'-0.1,Matches
33,2024-2025,Millie Bright,eng ENG,DF,Chelsea,30,1993,20.2,0,15,3,20,0.74,0.15,0,0,14.2,0,0,0,1.2,1.2,0.08,'-1.2,'-1.2,Matches
34,2024-2025,Lucy Bronze,eng ENG,DF,Chelsea,32,1991,16.6,2,20,4,20,1.21,0.24,0.1,0.5,15.1,0,0,0,1.6,1.6,0.08,0.4,0.4,Matches
35,2024-2025,Courtney Brosnan,ie IRL,GK,Everton,28,1995,21,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
36,2024-2025,Lola Brown,eng ENG,FW,Chelsea,16,2007,0.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
37,2024-2025,Dagný Brynjarsdóttir,is ISL,MF,West Ham,32,1991,5.7,0,8,2,25,1.41,0.35,0,0,14.8,0,0,0,0.6,0.6,0.08,'-0.6,'-0.6,Matches
38,2024-2025,Kadeisha Buchanan,ca CAN,DF,Chelsea,28,1995,4.9,0,3,0,0,0.61,0,0,Unknown,7,0,0,0,0.3,0.3,0.09,'-0.3,'-0.3,Matches
39,2024-2025,Luana Bühler,ch SUI,DF,Tottenham,28,1996,5.1,0,1,1,100,0.19,0.19,0,0,13.4,0,0,0,0,0,0.02,0,0,Matches
40,2024-2025,Hannah Cain,wls WAL,FW,Leicester City,25,1999,10.8,3,25,13,52,2.32,1.2,0.12,0.23,17.6,0,0,0,2.7,2.7,0.11,0.3,0.3,Matches
41,2024-2025,Mariona Caldentey,es ESP,"MF,FW",Arsenal,28,1996,19.6,9,28,14,50,1.43,0.71,0.18,0.36,19.5,1,4,5,6.3,2.6,0.09,2.7,2.4,Matches
42,2024-2025,Jelena Čanković,rs SRB,MF,Brighton,28,1995,10,3,10,8,80,1,0.8,0.3,0.38,17.7,1,0,0,1.1,1.1,0.11,1.9,1.9,Matches
43,2024-2025,Jorelyn Carabalí,co COL,DF,Brighton,27,1997,10.7,0,10,3,30,0.93,0.28,0,0,14.3,0,0,0,1.3,1.3,0.13,'-1.3,'-1.3,Matches
44,2024-2025,Kerstin Casparij,nl NED,DF,Manchester City,23,2000,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,14.8,0,0,0,2,2,0.16,0,0,Matches
45,2024-2025,Steph Catley,au AUS,DF,Arsenal,30,1994,17.5,0,5,0,0,0.28,0,0,Unknown,8.5,0,0,0,0.5,0.5,0.09,'-0.5,'-0.5,Matches
46,2024-2025,My Cato,se SWE,MF,Crystal Palace,22,2002,18.5,2,17,5,29.4,0.92,0.27,0.12,0.4,16.8,0,0,0,2,2,0.12,0,0,Matches
47,2024-2025,Janice Cayman,be BEL,"MF,DF",Leicester City,35,1988,18.5,4,20,10,50,1.08,0.54,0.2,0.4,18.7,0,0,0,2.3,2.3,0.12,1.7,1.7,Matches
48,2024-2025,Niamh Charles,eng ENG,"DF,FW",Chelsea,25,1999,10,0,6,2,33.3,0.6,0.2,0,0,10.5,0,0,0,0.6,0.6,0.11,'-0.6,'-0.6,Matches
49,2024-2025,Shana Chossenotte,fr FRA,"FW,MF",Leicester City,19,2005,10.9,1,10,3,30,0.92,0.28,0.1,0.33,14.3,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
50,2024-2025,Jenna Clark,sct SCO,DF,Liverpool,22,2001,15.2,0,8,3,37.5,0.53,0.2,0,0,14.6,0,0,0,0.7,0.7,0.09,'-0.7,'-0.7,Matches
51,2024-2025,Grace Clinton,eng ENG,"MF,FW",Manchester Utd,21,2003,18.6,8,43,17,39.5,2.31,0.91,0.19,0.47,17.8,1,0,0,5.4,5.4,0.12,2.6,2.6,Matches
52,2024-2025,Laia Codina,es ESP,DF,Arsenal,24,2000,4.6,0,1,0,0,0.22,0,0,Unknown,7,0,0,0,0.1,0.1,0.14,'-0.1,'-0.1,Matches
53,2024-2025,Shannon Cooke,eng ENG,DF,West Ham,24,2000,3.8,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
54,2024-2025,Laura Coombs,eng ENG,"MF,FW",Manchester City,33,1991,5.8,0,6,0,0,1.03,0,0,Unknown,24.3,0,0,0,0.4,0.4,0.07,'-0.4,'-0.4,Matches
55,2024-2025,Kyra Cooney-Cross,au AUS,MF,Arsenal,22,2002,10.8,0,11,2,18.2,1.02,0.18,0,0,26.1,0,0,0,0.5,0.5,0.04,'-0.5,'-0.5,Matches
56,2024-2025,Rachel Corsie,sct SCO,"DF,MF",Aston Villa,34,1989,0.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
57,2024-2025,Erin Cuthbert,sct SCO,MF,Chelsea,26,1998,12.8,4,28,11,39.3,2.19,0.86,0.14,0.36,18.4,0,0,0,2.4,2.4,0.09,1.6,1.6,Matches
58,2024-2025,Sabrina D'Angelo,ca CAN,GK,Aston Villa,31,1993,21.6,0,1,1,100,0.05,0.05,0,0,12,0,0,0,0,0,0.04,0,0,Matches
59,2024-2025,Kenza Dali,fr FRA,"MF,FW",Aston Villa,33,1991,4.4,1,6,1,16.7,1.36,0.23,0.17,1,23.3,1,0,0,0.3,0.3,0.06,0.7,0.7,Matches
60,2024-2025,Rachel Daly,eng ENG,"FW,MF",Aston Villa,32,1991,20.6,8,48,17,35.4,2.33,0.83,0.15,0.41,13.7,0,1,1,7.4,6.6,0.14,0.6,0.4,Matches
61,2024-2025,Yana Daniels,be BEL,"DF,FW",Liverpool,32,1992,1.4,0,1,0,0,0.73,0,0,Unknown,12.1,0,0,0,0,0,0.03,0,0,Matches
62,2024-2025,Anouk Denton,eng ENG,"DF,MF",West Ham,21,2003,17.7,2,13,5,38.5,0.73,0.28,0.15,0.4,21.7,0,0,0,0.9,0.9,0.07,1.1,1.1,Matches
63,2024-2025,Daphne van Domselaar,nl NED,GK,Arsenal,24,2000,15,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
64,2024-2025,Maddy Duffy,Unknown,DF,Liverpool,Unknown,Unknown,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
65,2024-2025,Hlín Eiríksdóttir,is ISL,FW,Leicester City,24,2000,2.8,0,7,1,14.3,2.48,0.35,0,0,12.6,0,0,0,0.9,0.9,0.13,'-0.9,'-0.9,Matches
66,2024-2025,Mia Enderby,eng ENG,"FW,DF",Liverpool,19,2005,6.3,0,7,1,14.3,1.1,0.16,0,0,15.3,0,0,0,0.7,0.7,0.11,'-0.7,'-0.7,Matches
67,2024-2025,Bethany England,eng ENG,"FW,MF",Tottenham,30,1994,15.3,8,39,14,35.9,2.55,0.91,0.18,0.5,12,0,1,1,6.5,5.7,0.15,1.5,1.3,Matches
68,2024-2025,Gemma Evans,wls WAL,"DF,MF",Liverpool,27,1996,9.3,0,2,1,50,0.21,0.11,0,0,7,0,0,0,0.3,0.3,0.17,'-0.3,'-0.3,Matches
69,2024-2025,Aimee Everett,eng ENG,DF,Crystal Palace,22,2001,10.6,0,2,0,0,0.19,0,0,Unknown,13.4,0,0,0,0,0,0.02,0,0,Matches
70,2024-2025,Niamh Fahey,ie IRL,DF,Liverpool,36,1987,0.6,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
71,2024-2025,Martina Fernández,es ESP,DF,Everton,19,2004,12,0,4,0,0,0.33,0,0,Unknown,11.4,0,0,0,0.4,0.4,0.11,'-0.4,'-0.4,Matches
72,2024-2025,Megan Finnigan,eng ENG,DF,Everton,26,1998,12,0,4,0,0,0.33,0,0,Unknown,12.5,0,0,0,0.4,0.4,0.11,'-0.4,'-0.4,Matches
73,2024-2025,Mia Fishel,us USA,"FW,MF",Chelsea,23,2001,1.4,1,8,3,37.5,5.63,2.11,0.13,0.33,11.4,0,0,0,1.1,1.1,0.14,'-0.1,'-0.1,Matches
74,2024-2025,Grace Fisk,eng ENG,DF,Liverpool,26,1998,15.5,0,13,0,0,0.84,0,0,Unknown,13.1,0,0,0,0.9,0.9,0.07,'-0.9,'-0.9,Matches
75,2024-2025,Caitlin Foord,au AUS,"FW,MF",Arsenal,29,1994,13.8,6,36,14,38.9,2.61,1.02,0.17,0.43,13,0,0,0,5.5,5.5,0.16,0.5,0.5,Matches
76,2024-2025,Mary Fowler,au AUS,"FW,MF",Manchester City,21,2003,12.5,6,23,10,43.5,1.84,0.8,0.17,0.4,17.4,0,2,2,3.9,2.5,0.11,2.1,1.5,Matches
77,2024-2025,Emily Fox,us USA,DF,Arsenal,26,1998,19.3,1,10,3,30,0.52,0.16,0.1,0.33,18.4,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
78,2024-2025,Aoba Fujino,jp JPN,"FW,MF",Manchester City,20,2004,12.3,1,20,6,30,1.63,0.49,0.05,0.17,15.4,0,0,0,1.9,1.9,0.09,'-0.9,'-0.9,Matches
79,2024-2025,Inma Gabarro,es ESP,"MF,FW",Everton,21,2002,0.8,0,2,1,50,2.61,1.3,0,0,21.1,0,0,0,0.1,0.1,0.04,'-0.1,'-0.1,Matches
80,2024-2025,Gabi Nunes,br BRA,FW,Aston Villa,27,1997,8.1,2,18,8,44.4,2.23,0.99,0.11,0.25,12.3,2,0,0,3.4,3.4,0.19,'-1.4,'-1.4,Matches
81,2024-2025,Kelly Gago,fr FRA,"FW,MF",Everton,25,1999,8.6,4,17,7,41.2,1.98,0.81,0.24,0.57,12.6,0,0,0,2.9,2.9,0.17,1.1,1.1,Matches
82,2024-2025,Aurora Galli,it ITA,MF,Everton,27,1996,1,0,2,1,50,1.91,0.96,0,0,25,1,0,0,0.1,0.1,0.06,'-0.1,'-0.1,Matches
83,2024-2025,Leah Galton,eng ENG,"FW,DF",Manchester Utd,30,1994,16,5,19,9,47.4,1.19,0.56,0.26,0.56,10.6,0,0,0,4.3,4.3,0.22,0.7,0.7,Matches
84,2024-2025,Mille Gejl,dk DEN,"MF,FW",Crystal Palace,24,1999,14.9,3,16,7,43.8,1.07,0.47,0.19,0.43,15.5,0,0,0,1.5,1.5,0.1,1.5,1.5,Matches
85,2024-2025,Gabrielle George,eng ENG,DF,Manchester Utd,27,1997,14.6,0,6,1,16.7,0.41,0.07,0,0,16.6,2,0,0,0.7,0.7,0.11,'-0.7,'-0.7,Matches
86,2024-2025,Geyse,br BRA,"FW,MF",Manchester Utd,26,1998,5.2,1,10,3,30,1.91,0.57,0.1,0.33,14.4,0,0,0,1.3,1.3,0.13,'-0.3,'-0.3,Matches
87,2024-2025,Felicity Gibbons,eng ENG,DF,Crystal Palace,30,1994,4.4,0,1,0,0,0.23,0,0,Unknown,20.7,0,0,0,0,0,0.04,0,0,Matches
88,2024-2025,Naomi Girma,us USA,DF,Chelsea,24,2000,3.5,0,1,0,0,0.29,0,0,Unknown,10.9,0,0,0,0.2,0.2,0.17,'-0.2,'-0.2,Matches
89,2024-2025,Missy Goodwin,eng ENG,FW,Leicester City,21,2003,12.7,2,13,4,30.8,1.02,0.31,0.15,0.5,18.7,0,0,0,1.7,1.7,0.13,0.3,0.3,Matches
90,2024-2025,Katrina Gorry,au AUS,MF,West Ham,31,1992,19.6,3,27,9,33.3,1.38,0.46,0.11,0.33,24.5,0,0,0,1.7,1.7,0.06,1.3,1.3,Matches
91,2024-2025,Lucy Graham,sct SCO,"DF,MF",Everton,27,1996,10.9,1,10,2,20,0.92,0.18,0.1,0.5,14.3,1,0,0,0.8,0.8,0.08,0.2,0.2,Matches
92,2024-2025,Charlotte Grant,au AUS,"FW,DF",Tottenham,22,2001,4.4,0,3,2,66.7,0.68,0.45,0,0,18,0,0,0,0.7,0.7,0.23,'-0.7,'-0.7,Matches
93,2024-2025,Chasity Grant,nl NED,"FW,DF",Aston Villa,23,2001,16.3,4,14,5,35.7,0.86,0.31,0.29,0.8,12.3,0,0,0,2.3,2.3,0.16,1.7,1.7,Matches
94,2024-2025,Josephine Green,wls WAL,DF,Crystal Palace,31,1993,14.4,0,4,1,25,0.28,0.07,0,0,14.6,0,0,0,0.4,0.4,0.1,'-0.4,'-0.4,Matches
95,2024-2025,Alex Greenwood,eng ENG,DF,Manchester City,30,1993,11,0,5,2,40,0.46,0.18,0,0,22.4,2,0,0,0.4,0.4,0.08,'-0.4,'-0.4,Matches
96,2024-2025,Lenna Gunning-Williams,eng ENG,"MF,FW",Tottenham,19,2005,1.5,0,3,2,66.7,1.97,1.31,0,0,15,0,0,0,0.3,0.3,0.1,'-0.3,'-0.3,Matches
97,2024-2025,Madison Haley,us USA,"MF,FW",Brighton,25,1998,10.1,1,13,4,30.8,1.29,0.4,0.08,0.25,11.2,0,0,0,1.4,1.4,0.11,'-0.4,'-0.4,Matches
98,2024-2025,Maika Hamano,jp JPN,"MF,FW",Chelsea,20,2004,10,2,22,9,40.9,2.19,0.9,0.09,0.22,15.6,0,0,0,2.3,2.3,0.11,'-0.3,'-0.3,Matches
99,2024-2025,Hannah Hampton,eng ENG,GK,Chelsea,23,2000,22,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
100,2024-2025,Kirsty Hanson,sct SCO,"FW,MF",Aston Villa,26,1998,12.7,3,27,12,44.4,2.13,0.95,0.11,0.25,19.9,0,0,0,2,2,0.07,1,1,Matches
101,2024-2025,Emma Harries,eng ENG,"FW,MF",West Ham,22,2002,3.8,2,5,4,80,1.3,1.04,0.4,0.5,14.4,0,0,0,1,1,0.21,1,1,Matches
102,2024-2025,Yui Hasegawa,jp JPN,MF,Manchester City,27,1997,21.5,0,16,6,37.5,0.74,0.28,0,0,22.2,1,0,0,1,1,0.06,'-1,'-1,Matches
103,2024-2025,Honoka Hayashi,jp JPN,MF,Everton,26,1998,19,4,15,7,46.7,0.79,0.37,0.27,0.57,18.1,0,0,0,0.9,0.9,0.06,3.1,3.1,Matches
104,2024-2025,Caitlin Hayes,ie IRL,DF,Brighton,28,1995,4.4,0,1,1,100,0.23,0.23,0,0,8.3,0,0,0,0.3,0.3,0.27,'-0.3,'-0.3,Matches
105,2024-2025,Eleanor Heeps,eng ENG,GK,Tottenham,20,2003,2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
106,2024-2025,Lauren Hemp,eng ENG,"FW,MF",Manchester City,23,2000,8.1,2,30,15,50,3.72,1.86,0.07,0.13,16.4,0,0,0,3.7,3.7,0.12,'-1.7,'-1.7,Matches
107,2024-2025,Taylor Hinds,eng ENG,DF,Liverpool,24,1999,21.2,2,28,10,35.7,1.32,0.47,0.07,0.2,18.9,2,0,0,2.3,2.3,0.08,'-0.3,'-0.3,Matches
108,2024-2025,Marie Höbinger,at AUT,MF,Liverpool,23,2001,17.1,3,28,11,39.3,1.64,0.64,0.04,0.09,25.7,2,2,2,2.9,1.4,0.05,0.1,'-0.4,Matches
109,2024-2025,Isabella Hobson,eng ENG,"DF,MF",Everton,16,2007,1.6,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
110,2024-2025,Olivia Holdt,dk DEN,"FW,MF",Tottenham,23,2001,6.4,1,14,2,14.3,2.18,0.31,0.07,0.5,22.3,1,0,0,1.1,1.1,0.08,'-0.1,'-0.1,Matches
111,2024-2025,Ceri Holland,wls WAL,"MF,FW",Liverpool,26,1997,17.7,0,26,7,26.9,1.47,0.4,0,0,21.4,0,0,0,1.8,1.8,0.07,'-1.8,'-1.8,Matches
112,2024-2025,Karen Holmgaard,dk DEN,"DF,MF",Everton,25,1999,4.2,2,4,2,50,0.95,0.47,0.5,1,5.9,0,0,0,0.8,0.8,0.19,1.2,1.2,Matches
113,2024-2025,Sara Holmgaard,dk DEN,DF,Everton,25,1999,18.2,3,11,3,27.3,0.6,0.16,0.27,1,18.5,1,0,0,0.6,0.6,0.06,2.4,2.4,Matches
114,2024-2025,Shanade Hopcroft,eng ENG,"FW,MF",Crystal Palace,26,1997,0.9,0,2,1,50,2.2,1.1,0,0,15,0,0,0,0.4,0.4,0.22,'-0.4,'-0.4,Matches
115,2024-2025,Sophie Howard,sct SCO,DF,Leicester City,30,1993,21,0,9,2,22.2,0.43,0.1,0,0,9,0,0,0,1.3,1.3,0.14,'-1.3,'-1.3,Matches
116,2024-2025,Elise Hughes,wls WAL,"FW,MF",Crystal Palace,23,2001,0.8,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
117,2024-2025,Clare Hunt,au AUS,DF,Tottenham,25,1999,15.3,2,10,5,50,0.65,0.33,0.2,0.4,12.7,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
118,2024-2025,Lina Hurtig,se SWE,"FW,DF",Arsenal,28,1995,0.7,1,3,1,33.3,4.58,1.53,0.33,1,11.6,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
119,2024-2025,Celin Ildhusøy,no NOR,"FW,MF",Manchester Utd,22,2001,16.3,2,25,7,28,1.53,0.43,0.08,0.29,17.1,0,0,0,3,3,0.12,'-1,'-1,Matches
120,2024-2025,Amanda Ilestedt,se SWE,DF,Arsenal,31,1993,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
121,2024-2025,Lauren James,eng ENG,"FW,MF",Chelsea,22,2001,6.3,3,27,10,37,4.32,1.6,0.11,0.3,20.6,1,0,0,3,3,0.11,0,0,Matches
122,2024-2025,Dominique Janssen,nl NED,"MF,DF",Manchester Utd,29,1995,18.4,2,18,4,22.2,0.98,0.22,0.11,0.5,25.4,1,0,0,1.2,1.2,0.07,0.8,0.8,Matches
123,2024-2025,Oriane Jean-François,fr FRA,MF,Chelsea,22,2001,5.7,0,7,0,0,1.24,0,0,Unknown,20.5,0,0,0,0.4,0.4,0.06,'-0.4,'-0.4,Matches
124,2024-2025,Anna Júlia Csiki,hu HUN,"MF,FW",Tottenham,24,1999,2.9,0,2,1,50,0.69,0.34,0,0,14.4,0,0,0,0.3,0.3,0.17,'-0.3,'-0.3,Matches
125,2024-2025,Sammy Kaczmar,Unknown,FW,Leicester City,Unknown,Unknown,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
126,2024-2025,Cornelia Kapocs,se SWE,"FW,MF",Liverpool,24,2000,9.8,2,19,10,52.6,1.94,1.02,0.11,0.2,16.1,0,0,0,2.7,2.7,0.15,'-0.7,'-0.7,Matches
127,2024-2025,Wieke Kaptein,nl NED,MF,Chelsea,18,2005,9.5,2,14,7,50,1.48,0.74,0.14,0.29,16.4,0,0,0,1.7,1.7,0.12,0.3,0.3,Matches
128,2024-2025,Khiara Keating,eng ENG,GK,Manchester City,20,2004,12,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
129,2024-2025,Sari Kees,be BEL,DF,Leicester City,23,2001,6,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
130,2024-2025,Chloe Kelly,eng ENG,FW,Arsenal,26,1998,5.6,2,16,7,43.8,2.83,1.24,0.13,0.29,16.5,0,0,0,1.7,1.7,0.11,0.3,0.3,Matches
131,2024-2025,Chloe Kelly,eng ENG,"FW,MF",Manchester City,26,1998,1.9,0,6,2,33.3,3.2,1.07,0,0,20.6,0,0,0,0.4,0.4,0.06,'-0.4,'-0.4,Matches
132,2024-2025,Alanna Kennedy,au AUS,DF,Manchester City,29,1995,4.6,0,1,0,0,0.22,0,0,Unknown,2.5,0,0,0,0.6,0.6,0.62,'-0.6,'-0.6,Matches
133,2024-2025,Kerolin,br BRA,"FW,MF",Manchester City,24,1999,7.5,3,31,17,54.8,4.15,2.28,0.1,0.18,15.2,0,0,0,2.7,2.7,0.09,0.3,0.3,Matches
134,2024-2025,Samantha Kerr,sct SCO,MF,Liverpool,25,1999,9.7,0,4,0,0,0.41,0,0,Unknown,20,0,0,0,0.2,0.2,0.04,'-0.2,'-0.2,Matches
135,2024-2025,Leanne Kiernan,ie IRL,FW,Liverpool,25,1999,7.4,2,16,5,31.3,2.16,0.67,0.13,0.4,15.1,0,0,0,2.5,2.5,0.15,'-0.5,'-0.5,Matches
136,2024-2025,Fran Kirby,eng ENG,"MF,FW",Brighton,31,1993,14.6,7,24,12,50,1.65,0.82,0.17,0.33,18.7,0,3,3,6,3.8,0.16,1,0.2,Matches
137,2024-2025,Rebecca Knaak,de GER,DF,Manchester City,28,1996,7.2,4,12,5,41.7,1.66,0.69,0.33,0.8,13.8,0,0,0,0.8,0.8,0.07,3.2,3.2,Matches
